GAME,BlackElo,BlackRatingDiff,Date,ECO,Event,Opening,White_Result,Black_Result,Result,Site,Termination,TimeControl,UTCTime,WhiteElo,WhiteRatingDiff,Black_elo_category,White_elo_category,starting_time,increment,Game_type,Total_moves,Black_blunders,White_blunders,Black_mistakes,White_mistakes,Black_inaccuracies,White_inaccuracies,Black_inferior_moves,White_inferior_moves,Black_ts_moves,White_ts_moves,Black_ts_blunders,White_ts_blunders,Black_ts_mistakes,White_ts_mistake,Black_long_moves,White_long_moves,Black_bad_long_moves,White_bad_long_moves,Game_flips,Game_flips_ts
67964,2182,5,2020.09.01,C52,Rated Bullet game,"Evans Gambit, Slow Variation",0,1,0-1,https://lichess.org/DQ71WMoa,Normal,60+0,0:59:58,2151,-6,High rating,High rating,60,0,Bullet,57,1,2,2,2,1,2,4,6,0,3,0,0,0,0,1,3,0,2,1,0
68001,1871,3,2020.09.01,D00,Rated Blitz game,Queen's Pawn Game: Mason Attack,0,1,0-1,https://lichess.org/4qsnuns0,Normal,180+2,1:00:00,1668,-3,Low rating,Low rating,180,2,Blitz,190,1,3,4,7,7,12,12,22,24,56,1,2,0,3,3,2,2,1,13,1
68012,1683,-2,2020.09.01,C45,Rated Blitz game,Scotch Game,1,0,Jan-00,https://lichess.org/eVJHfsQl,Normal,180+2,1:00:00,1946,2,Low rating,High rating,180,2,Blitz,95,4,1,7,12,3,6,14,19,14,13,1,0,3,0,2,1,2,1,18,5
68024,1764,10,2020.09.01,E90,Rated Rapid game,"King's Indian Defense: Normal Variation, Rare Defenses",0,1,0-1,https://lichess.org/zGPM8fxP,Normal,300+5,1:00:00,2004,-11,Low rating,High rating,300,5,Blitz,70,0,1,2,4,2,2,4,7,0,0,0,0,0,0,2,2,1,1,4,0
68025,1696,-3,2020.09.01,B24,Rated Rapid game,"Sicilian Defense: Closed Variation, Fianchetto Variation",1,0,Jan-00,https://lichess.org/po30OUsr,Normal,300+5,1:00:00,1906,3,Low rating,High rating,300,5,Blitz,73,2,1,1,0,6,2,9,3,0,0,0,0,0,0,1,1,0,0,4,0
68030,1789,4,2020.09.01,B90,Rated Blitz game,Sicilian Defense: Najdorf Variation,0,1,0-1,https://lichess.org/IiOCzvhp,Normal,180+2,1:00:00,1659,-3,Low rating,Low rating,180,2,Blitz,52,1,2,0,3,1,2,2,7,0,0,0,0,0,0,0,2,0,1,0,0
68033,1666,-4,2020.09.01,D90,Rated Blitz game,Grünfeld Defense: Three Knights Variation,1,0,Jan-00,https://lichess.org/pxBZrMZO,Normal,180+2,1:00:00,1815,3,Low rating,Low rating,180,2,Blitz,57,3,2,1,0,5,3,9,5,0,2,0,0,0,0,0,3,0,1,4,0
68041,1540,-3,2020.09.01,D02,Rated Blitz game,Queen's Pawn Game: Zukertort Variation,1,0,Jan-00,https://lichess.org/sXXPdBnD,Time forfeit,300+0,1:00:01,1759,2,Low rating,Low rating,300,0,Blitz,75,4,2,2,1,0,1,6,4,6,0,0,0,0,0,2,0,1,0,6,0
68073,1401,2,2020.09.01,D00,Rated Rapid game,Queen's Pawn Game,0,1,0-1,https://lichess.org/LbZrdVCS,Normal,300+8,1:00:02,1166,-11,Low rating,Low rating,300,8,Blitz,54,1,2,2,7,2,0,5,9,0,0,0,0,0,0,0,0,0,0,6,0
68074,1285,5,2020.09.01,A45,Rated UltraBullet game,Indian Game,0,1,0-1,https://lichess.org/iCvks9yK,Time forfeit,15+0,1:00:02,1297,-104,Low rating,Low rating,15,0,Bullet,20,0,0,1,1,2,2,3,3,0,1,0,0,0,0,0,4,0,1,1,0
